dataset,embedding,evidence_tokens_mean,evidence_tokens_std,full_evidence_mean,full_evidence_std,graph_actions_mean,graph_actions_std,harmful_expansions_mean,harmful_expansions_std,policy,runs,support_recall_mean,support_recall_std,total_latency_ms_mean,total_latency_ms_std
2wiki,bge-m3_latest,559.944,0.0,0.292,0.0,0.0,0.0,0.0,0.0,bm25,1,0.62,0.0,24.888229493284598,0.0
2wiki,bge-m3_latest,763.379,0.0,0.437,0.0,0.0,0.0,0.0,0.0,dense,1,0.71575,0.0,2.1531075986567885,0.0
2wiki,bge-m3_latest,702.857,0.0,0.393,0.0,0.0,0.0,0.0,0.0,hybrid,1,0.70325,0.0,11054.468566195574,0.0
2wiki,bge-m3_latest,756.384,0.0,0.604,0.0,1.981,0.0,1.544,0.0,mrv_always,1,0.83225,0.0,11106.647082492476,0.0
2wiki,bge-m3_latest,725.967,0.0,0.601,0.0,1.624,0.0,1.194,0.0,mrv_gated,1,0.8305,0.0,11096.167688995367,0.0
2wiki,bge-m3_latest,717.425,0.0,0.75,0.0,0.682,0.0,0.0,0.0,oracle_upper_bound,1,0.92575,0.0,11096.209722203901,0.0
2wiki,bge-m3_latest,871.248,0.0,0.444,0.0,1.973,0.0,1.789,0.0,relevance_always,1,0.7305,0.0,11109.959558596369,0.0
2wiki,bge-m3_latest,820.17,0.0,0.444,0.0,1.606,0.0,1.427,0.0,relevance_gated,1,0.731,0.0,11097.323933088686,0.0
2wiki,bge-m3_latest,651.651,0.0,0.375,0.0,0.0,0.0,0.0,0.0,rrf_fusion,1,0.692,0.0,27.285741704283282,0.0
2wiki,qwen3-embedding_0.6b,559.944,0.0,0.292,0.0,0.0,0.0,0.0,0.0,bm25,3,0.62,0.0,23.700154366359737,1.774849253996339
2wiki,qwen3-embedding_0.6b,603.965,0.0,0.384,0.0,0.0,0.0,0.0,0.0,dense,3,0.69275,0.0,2.0948480338168642,0.03155977337144026
2wiki,qwen3-embedding_0.6b,618.487,0.0,0.367,0.0,0.0,0.0,0.0,0.0,hybrid,3,0.68825,0.0,88.13860223419033,93.51517812909235
