dataset,slice,queries,share,wins,losses,ties,win_rate,loss_rate,mean_support_recall_delta
hotpot,already_solved,640,0.64,0,28,612,0.0,0.04375,-0.02265625
hotpot,anchor_failure,37,0.037,3,5,29,0.08108108108108109,0.13513513513513514,-0.02702702702702703
hotpot,rescuable,278,0.278,196,0,82,0.7050359712230215,0.0,0.35251798561151076
hotpot,unreachable,45,0.045,0,0,45,0.0,0.0,0.0
2wiki,already_solved,367,0.367,0,10,357,0.0,0.027247956403269755,-0.013623978201634877
2wiki,anchor_failure,16,0.016,0,4,12,0.0,0.25,-0.125
2wiki,rescuable,596,0.596,328,5,263,0.5503355704697986,0.008389261744966443,0.22441275167785235
2wiki,unreachable,21,0.021,0,0,21,0.0,0.0,0.0
musique,already_solved,156,0.156,0,20,136,0.0,0.1282051282051282,-0.05876068376068377
musique,anchor_failure,226,0.226,13,31,182,0.05752212389380531,0.13716814159292035,-0.02765486725663717
musique,rescuable,395,0.395,151,14,230,0.3822784810126582,0.035443037974683546,0.1529535864978903
musique,unreachable,223,0.223,0,16,207,0.0,0.07174887892376682,-0.020926756352765318
