dataset,full_evidence,pareto_optimal,policy,total_latency_ms
2wiki,0.367,False,hybrid,196.02558670775034
2wiki,0.419,False,relevance_always,240.69064219365828
2wiki,0.58,False,mrv_always,239.046835396206
2wiki,0.407,True,relevance_gated,225.19672889611684
2wiki,0.572,True,mrv_gated,227.8454212017823
2wiki,0.753,True,oracle_upper_bound,231.23146869428456
2wiki,0.292,False,bm25,21.65074850153178
2wiki,0.384,True,dense,2.061853906372562
2wiki,0.352,False,rrf_fusion,23.495702606160194
hotpot,0.64,True,hybrid,245.7798201974947
hotpot,0.711,False,relevance_always,286.6268768047448
hotpot,0.809,False,mrv_always,284.14975349535234
hotpot,0.71,False,relevance_gated,278.13137319590896
hotpot,0.81,False,mrv_gated,276.7827300953213
hotpot,0.932,True,oracle_upper_bound,273.3326277954038
hotpot,0.448,False,bm25,54.535255699418485
hotpot,0.586,True,dense,3.1640057070180774
hotpot,0.62,True,rrf_fusion,57.49542970629409
musique,0.156,False,hybrid,276.3674823024776
musique,0.18,False,relevance_always,359.79009109619074
musique,0.249,False,mrv_always,357.35714939888567
musique,0.185,False,relevance_gated,347.83125999895856
musique,0.252,False,mrv_gated,348.2013295968063
musique,0.438,True,oracle_upper_bound,317.0731031005271
musique,0.09,False,bm25,78.34223820245825
musique,0.178,True,dense,3.846886099781841
musique,0.142,False,rrf_fusion,81.61337219947018
