dataset,embedding,evidence_tokens,full_evidence,graph_actions,harmful_expansions,policy,policy_latency_ms,retrieval_latency_ms,seed,support_mrr,support_ndcg,support_recall,support_recall_at_2,support_recall_at_5,total_latency_ms,total_latency_ms_p95
2wiki,bge-m3_latest,702.857,0.393,0.0,0.0,hybrid,0.01830919785425067,11054.299675696064,101,0.96695,0.7469598938267689,0.70325,0.62025,0.70325,11054.468566195574,322.607790119946
2wiki,bge-m3_latest,871.248,0.444,1.973,1.789,relevance_always,55.49996020109393,11054.299675696064,101,0.9659833333333333,0.7616497775068424,0.7305,0.62025,0.7305,11109.959558596369,386.7727448232472
2wiki,bge-m3_latest,756.384,0.604,1.981,1.544,mrv_always,52.20482280058786,11054.299675696064,101,0.9652000000000001,0.8259104258423643,0.83225,0.62025,0.83225,11106.647082492476,382.3060600087046
2wiki,bge-m3_latest,820.17,0.444,1.606,1.427,relevance_gated,42.87269990029745,11054.299675696064,101,0.9662833333333333,0.7621928220179052,0.731,0.62025,0.731,11097.323933088686,377.3371400311589
2wiki,bge-m3_latest,725.967,0.601,1.624,1.194,mrv_gated,41.731871302006766,11054.299675696064,101,0.9652999999999999,0.8252350775408293,0.8305,0.62025,0.8305,11096.167688995367,374.47601029416546
2wiki,bge-m3_latest,717.425,0.75,0.682,0.0,oracle_upper_bound,41.773788700578734,11054.299675696064,101,0.9673666666666667,0.8947452329741152,0.92575,0.62025,0.92575,11096.209722203901,378.0457199783996
2wiki,bge-m3_latest,559.944,0.292,0.0,0.0,bm25,0.013241895940154791,24.766297100810334,101,0.8686500000000001,0.6459691156090762,0.62,0.50975,0.62,24.888229493284598,37.18025996349751
2wiki,bge-m3_latest,763.379,0.437,0.0,0.0,dense,0.01899520237930119,1.9958720984868705,101,0.97495,0.7597632962997345,0.71575,0.63675,0.71575,2.1531075986567885,2.49706992181018
2wiki,bge-m3_latest,651.651,0.375,0.0,0.0,rrf_fusion,0.016346297459676862,27.14607090735808,101,0.9603166666666666,0.7359391477150222,0.692,0.6045,0.692,27.285741704283282,39.96498486958444
2wiki,qwen3-embedding_0.6b,618.487,0.367,0.0,0.0,hybrid,0.016020501032471657,195.88222889997996,101,0.9686,0.7372230794502823,0.68825,0.60975,0.68825,196.02558670775034,282.3534500435925
2wiki,qwen3-embedding_0.6b,778.273,0.419,1.982,1.796,relevance_always,44.6871353960596,195.88222889997996,101,0.9672999999999999,0.7532214722246101,0.71725,0.60975,0.71725,240.69064219365828,333.24746536090964
2wiki,qwen3-embedding_0.6b,716.144,0.58,1.974,1.538,mrv_always,43.05093150003813,195.88222889997996,101,0.9663666666666667,0.8176742062382758,0.81875,0.60975,0.81875,239.046835396206,331.2349347048439
2wiki,qwen3-embedding_0.6b,711.807,0.407,1.379,1.225,relevance_gated,29.202571097994223,195.88222889997996,101,0.9676166666666667,0.7506504151524078,0.712,0.60975,0.712,225.19672889611684,320.1415348565206
2wiki,qwen3-embedding_0.6b,671.836,0.572,1.52,1.107,mrv_gated,31.855283099925146,195.88222889997996,101,0.967,0.8157052789358427,0.815,0.60975,0.815,227.8454212017823,322.21055522095406
2wiki,qwen3-embedding_0.6b,654.492,0.753,0.713,0.0,oracle_upper_bound,35.24447079678066,195.88222889997996,101,0.9692333333333334,0.8958855196964758,0.92825,0.60975,0.92825,231.23146869428456,325.1636502449401
2wiki,qwen3-embedding_0.6b,559.944,0.292,0.0,0.0,bm25,0.01181530300527811,21.546945399604738,101,0.8686500000000001,0.6459691156090762,0.62,0.50975,0.62,21.65074850153178,31.312140217050906
2wiki,qwen3-embedding_0.6b,603.965,0.384,0.0,0.0,dense,0.01642250339500606,1.948778699617833,101,0.9754166666666667,0.743429528486026,0.69275,0.623,0.69275,2.061853906372562,2.3741751443594694
2wiki,qwen3-embedding_0.6b,581.756,0.352,0.0,0.0,rrf_fusion,0.01588810607790947,23.38566919718869,101,0.94905,0.7196434029279457,0.67625,0.59175,0.67625,23.495702606160194,32.70450501004234
2wiki,qwen3-embedding_0.6b,618.487,0.367,0.0,0.0,hybrid,0.018867998151108623,37.96839850069955,202,0.9686,0.7372230794502823,0.68825,0.60975,0.68825,38.11779739474878,49.722544790711254
2wiki,qwen3-embedding_0.6b,778.273,0.419,1.982,1.796,relevance_always,52.776466297218576,37.96839850069955,202,0.9672999999999999,0.7532214722246101,0.71725,0.60975,0.71725,90.89081259351224,121.46799508482216
2wiki,qwen3-embedding_0.6b,696.609,0.578,1.979,1.546,mrv_always,49.736534206429496,37.96839850069955,202,0.9663666666666667,0.816904551012879,0.8175,0.60975,0.8175,87.8338615077082,118.67640011478215
2wiki,qwen3-embedding_0.6b,708.958,0.408,1.371,1.215,relevance_gated,33.716670599067584,37.96839850069955,202,0.9674166666666666,0.7504512095670448,0.71175,0.60975,0.71175,71.81635920214467,108.23790503200142
2wiki,qwen3-embedding_0.6b,666.924,0.572,1.518,1.105,mrv_gated,37.181096299085766,37.96839850069955,202,0.9667,0.8151305080283265,0.81425,0.60975,0.81425,75.2743116049096,110.96303506055847
2wiki,qwen3-embedding_0.6b,654.492,0.753,0.713,0.0,oracle_upper_bound,41.22967730113305,37.96839850069955,202,0.9692333333333334,0.8958855196964758,0.92825,0.60975,0.92825,79.32575669954531,113.07801997754721
2wiki,qwen3-embedding_0.6b,559.944,0.292,0.0,0.0,bm25,0.013203796464949846,24.608457999071106,202,0.8686500000000001,0.6459691156090762,0.62,0.50975,0.62,24.73130519129336,36.099305225070566
2wiki,qwen3-embedding_0.6b,603.965,0.384,0.0,0.0,dense,0.015889102593064308,1.9684251996222883,202,0.9754166666666667,0.743429528486026,0.69275,0.623,0.69275,2.097945098998025,2.393949741963297
2wiki,qwen3-embedding_0.6b,581.756,0.352,0.0,0.0,rrf_fusion,0.014806097839027643,26.96085519855842,202,0.94905,0.7196434029279457,0.67625,0.59175,0.67625,27.086775901028886,38.09816505527123
2wiki,qwen3-embedding_0.6b,618.487,0.367,0.0,0.0,hybrid,0.01739430264569819,30.124154801946133,303,0.9686,0.7372230794502823,0.68825,0.60975,0.68825,30.272422600071877,41.36047502979636
2wiki,qwen3-embedding_0.6b,778.273,0.419,1.982,1.796,relevance_always,52.23272280022502,30.124154801946133,303,0.9672999999999999,0.7532214722246101,0.71725,0.60975,0.71725,82.49985299981199,112.73109001340343
