dataset,queries,metric,hybrid,mrv_gated,difference,ci95_low,ci95_high,p_value_two_sided,p_value_holm,generation_calls,cache_hits,query_id_sha256
hotpot,1000,answer_em,0.335,0.37,0.035,0.013975000000000008,0.057,0.0036,0.0072,1648,352,c966c2962e38c0d9a4e1b2b218e57b3a5a7b810f13d7b2f525a1f8c42b94ff45
hotpot,1000,answer_f1,0.42289643689643697,0.4646719558219559,0.04177551892551892,0.019557440476190475,0.06434157051282052,0.0008,0.0024000000000000002,1648,352,c966c2962e38c0d9a4e1b2b218e57b3a5a7b810f13d7b2f525a1f8c42b94ff45
hotpot,1000,joint_f1,0.2291862257368774,0.2609890545979303,0.03180282886105317,0.016727815752553096,0.047315886577496954,0.0004,0.0016,1648,352,c966c2962e38c0d9a4e1b2b218e57b3a5a7b810f13d7b2f525a1f8c42b94ff45
hotpot,1000,support_em,0.041,0.043,0.002,-0.007,0.011,0.7792,0.7792,1648,352,c966c2962e38c0d9a4e1b2b218e57b3a5a7b810f13d7b2f525a1f8c42b94ff45
hotpot,1000,support_f1,0.4248888888888906,0.45711031746031977,0.03222142857142857,0.016483630952380954,0.04756017857142856,0.0,0.0,1648,352,c966c2962e38c0d9a4e1b2b218e57b3a5a7b810f13d7b2f525a1f8c42b94ff45
2wiki,1000,answer_em,0.16399999999999998,0.233,0.069,0.049,0.09,0.0,0.0,1622,378,c5a221b456525eae49628f2dd9227904d374fe07125c27b8f9d8427610f6a138
2wiki,1000,answer_f1,0.2318,0.30670000000000003,0.07490656565656564,0.053956499472749476,0.09683031204906203,0.0,0.0,1622,378,c5a221b456525eae49628f2dd9227904d374fe07125c27b8f9d8427610f6a138
2wiki,1000,support_em,0.053,0.057999999999999996,0.005,-0.003,0.013,0.2688,0.2688,1622,378,c5a221b456525eae49628f2dd9227904d374fe07125c27b8f9d8427610f6a138
2wiki,1000,support_f1,0.3841,0.4183,0.03417142857142856,0.017969166666666665,0.05019523809523809,0.0,0.0,1622,378,c5a221b456525eae49628f2dd9227904d374fe07125c27b8f9d8427610f6a138
musique,1000,answer_em,0.087,0.104,0.017,0.001,0.033,0.048,0.126,1777,223,7adfc222e672e73bbb36f357f683638f2a8af66467e01548193243320b574d82
musique,1000,answer_f1,0.133,0.151,0.018265201465201466,0.0007841330891330873,0.0357007967032967,0.042,0.126,1777,223,7adfc222e672e73bbb36f357f683638f2a8af66467e01548193243320b574d82
musique,1000,support_f1,0.304,0.305,0.0015849206349206363,-0.012534107142857144,0.015554682539682528,0.8104,0.8104,1777,223,7adfc222e672e73bbb36f357f683638f2a8af66467e01548193243320b574d82
