condition,dataset,dropped_edges,false_edges,full_evidence,graph_actions,graph_edges,harmful_expansions,policy,support_recall
clean,2wiki,0,0,0.367,0.0,74676,0.0,hybrid,0.68825
clean,2wiki,0,0,0.572,1.52,74676,1.107,mrv_gated,0.815
clean,2wiki,0,0,0.753,0.713,74676,0.0,oracle_upper_bound,0.92825
dropout_10,2wiki,7430,0,0.367,0.0,67246,0.0,hybrid,0.68825
dropout_10,2wiki,7430,0,0.544,1.449,67246,1.083,mrv_gated,0.7975
dropout_10,2wiki,7430,0,0.718,0.654,67246,0.0,oracle_upper_bound,0.905
dropout_25,2wiki,18628,0,0.367,0.0,56048,0.0,hybrid,0.68825
dropout_25,2wiki,18628,0,0.522,1.417,56048,1.103,mrv_gated,0.77975
dropout_25,2wiki,18628,0,0.692,0.592,56048,0.0,oracle_upper_bound,0.88225
dropout_50,2wiki,37174,0,0.367,0.0,37502,0.0,hybrid,0.68825
dropout_50,2wiki,37174,0,0.461,1.237,37502,1.009,mrv_gated,0.74525
dropout_50,2wiki,37174,0,0.616,0.451,37502,0.0,oracle_upper_bound,0.8365
false_edges_10,2wiki,0,7468,0.367,0.0,82144,0.0,hybrid,0.68825
false_edges_10,2wiki,0,7468,0.45,1.651,82144,1.436,mrv_gated,0.73825
false_edges_10,2wiki,0,7468,0.723,0.671,82144,0.0,oracle_upper_bound,0.914
false_edges_25,2wiki,0,18669,0.367,0.0,93345,0.0,hybrid,0.68825
false_edges_25,2wiki,0,18669,0.348,1.831,93345,1.78,mrv_gated,0.674
false_edges_25,2wiki,0,18669,0.719,0.666,93345,0.0,oracle_upper_bound,0.913
false_edges_50,2wiki,0,37338,0.367,0.0,112014,0.0,hybrid,0.68825
false_edges_50,2wiki,0,37338,0.316,1.941,112014,1.939,mrv_gated,0.6535
false_edges_50,2wiki,0,37338,0.711,0.655,112014,0.0,oracle_upper_bound,0.91
mixed_25_25,2wiki,18628,18669,0.367,0.0,74717,0.0,hybrid,0.68825
mixed_25_25,2wiki,18628,18669,0.342,1.851,74717,1.816,mrv_gated,0.66925
mixed_25_25,2wiki,18628,18669,0.672,0.558,74717,0.0,oracle_upper_bound,0.87425
clean,hotpot,0,0,0.64,0.0,144586,0.0,hybrid,0.814
clean,hotpot,0,0,0.81,1.569,144586,1.201,mrv_gated,0.8965
clean,hotpot,0,0,0.932,0.516,144586,0.0,oracle_upper_bound,0.9635
