dataset,loss_rate,mean_support_recall_delta,queries,question_type,slice,support_count,win_rate
2wiki,0.2,-0.1,10,inference,anchor_failure,2,0
2wiki,0,0.3417085427135678,199,compositional,rescuable,2,0.6834170854271356
2wiki,0.0205761316872428,0.1183127572016461,243,bridge_comparison,rescuable,4,0.48559670781893005
2wiki,0,0.24172185430463577,151,inference,rescuable,2,0.48344370860927155
2wiki,0.008298755186721992,-0.004149377593360996,241,comparison,already_solved,2,0
2wiki,0,0.0,2,inference,unreachable,2,0
2wiki,0,0.0,7,bridge_comparison,unreachable,4,0
2wiki,0.06896551724137931,-0.034482758620689655,87,inference,already_solved,2,0
2wiki,0.05128205128205128,-0.02564102564102564,39,compositional,already_solved,2,0
2wiki,0.3333333333333333,-0.16666666666666666,6,compositional,anchor_failure,2,0
2wiki,0,0.16666666666666666,3,comparison,rescuable,2,0.3333333333333333
2wiki,0,0.0,6,compositional,unreachable,2,0
2wiki,0,0.0,6,comparison,unreachable,2,0
hotpot,0.04241071428571429,-0.022321428571428572,448,bridge,already_solved,2,0
hotpot,0.046875,-0.0234375,192,comparison,already_solved,2,0
hotpot,0,0.35251798561151076,278,bridge,rescuable,2,0.7050359712230215
hotpot,0,0.0,2,comparison,anchor_failure,2,0
hotpot,0.14285714285714285,-0.02857142857142857,35,bridge,anchor_failure,2,0.08571428571428572
hotpot,0,0.0,6,comparison,unreachable,2,0
hotpot,0,0.0,39,bridge,unreachable,2,0
musique,0.08461538461538462,-0.04230769230769231,130,,already_solved,2,0
musique,0.08108108108108109,0.0,74,,anchor_failure,2,0.06756756756756757
musique,0,0.0,68,,unreachable,2,0
musique,0,0.3104575163398693,153,,rescuable,2,0.6209150326797386
musique,0.05063291139240506,0.06118143459915612,158,,rescuable,3,0.23417721518987342
musique,0.07476635514018691,-0.024922118380062305,107,,unreachable,3,0
musique,0.17857142857142858,-0.047619047619047616,84,,anchor_failure,3,0.07142857142857142
musique,0.34615384615384615,-0.14102564102564105,26,,already_solved,3,0
musique,0.07142857142857142,0.03869047619047619,84,,rescuable,4,0.2261904761904762
musique,0.16666666666666666,-0.041666666666666664,48,,unreachable,4,0
musique,0.14705882352941177,-0.03308823529411765,68,,anchor_failure,4,0.029411764705882353
