dataset,full_evidence_delta,gated_full_evidence,gated_graph_actions,hybrid_full_evidence,query_id,question_type,support_count,support_recall_delta
hotpot,0.0,1.0,0.0,1.0,5a70f0a75542994082a3e403,bridge,2,0.0
hotpot,-1.0,0.0,1.0,1.0,5a70f11a5542994082a3e40b,comparison,2,-0.5
hotpot,0.0,1.0,2.0,1.0,5a70f1685542994082a3e40f,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a70f39c5542994082a3e429,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a70f4695542994082a3e435,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a70f4c45542994082a3e437,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a70f6425542994082a3e44c,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a70f9335542994082a3e46a,comparison,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a70ff335542994082a3e49c,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a71095e5542994082a3e4f3,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7109e95542994082a3e4fa,bridge,2,0.0
hotpot,1.0,1.0,2.0,0.0,5a710a1e5542994082a3e4fd,bridge,2,0.5
hotpot,1.0,1.0,2.0,0.0,5a71148b5542994082a3e567,bridge,2,0.5
hotpot,0.0,0.0,1.0,0.0,5a7115475542994082a3e56d,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a71166d5542994082a3e576,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7119095542994082a3e589,bridge,2,0.0
hotpot,0.0,0.0,1.0,0.0,5a7119f75542994082a3e58e,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a711bb55542994082a3e597,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a711cb45542994082a3e59f,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a711ef85542994082a3e5ac,comparison,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a71224f5542994082a3e5c1,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a71231a5542994082a3e5c4,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a71278c5542994082a3e5e2,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7128b05542994082a3e5f2,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7129685542994082a3e5fa,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a71299e5542994082a3e5fe,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a712af15542994082a3e614,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a712c4b5542994082a3e622,bridge,2,0.0
